spp,Species.Name,Grid,Data.Source,Records
V_vulpes,V. vulpes,UG49,Daily Record,50
L_lutra,L. lutra,UG49,Global Biodiversity,144
L_lutra,L. lutra,UG49,No Validation,21
L_lutra,L. lutra,UG49,Sequences Record,1
L_lutra,L. lutra,UG49,Daily Record,1
M_foina,M. foina,UG49,Global Biodiversity,2
M_foina,M. foina,UG49,No Validation,0
M_foina,M. foina,UG49,Sequences Record,2
M_foina,M. foina,UG49,Daily Record,2
M_meles,M. meles,UG49,Global Biodiversity,4
M_meles,M. meles,UG49,No Validation,1
M_meles,M. meles,UG49,Sequences Record,4
M_meles,M. meles,UG49,Daily Record,2
M_nivalis,M. nivalis,UG49,Global Biodiversity,0
M_nivalis,M. nivalis,UG49,No Validation,1
M_nivalis,M. nivalis,UG49,Sequences Record,0
M_nivalis,M. nivalis,UG49,Daily Record,0
S_scrofa,S. scrofa,UG49,Global Biodiversity,3
S_scrofa,S. scrofa,UG49,No Validation,3
S_scrofa,S. scrofa,UG49,Sequences Record,39
S_scrofa,S. scrofa,UG49,Daily Record,21
C_elaphus,C. elaphus,UG49,Global Biodiversity,0
C_elaphus,C. elaphus,UG49,No Validation,0
C_elaphus,C. elaphus,UG49,Sequences Record,0
C_elaphus,C. elaphus,UG49,Daily Record,0
E_europaeus,E. europaeus,UG49,Global Biodiversity,0
E_europaeus,E. europaeus,UG49,No Validation,4
E_europaeus,E. europaeus,UG49,Sequences Record,0
E_europaeus,E. europaeus,UG49,Daily Record,0
M_putorius,M. putorius,UG49,Global Biodiversity,1
M_putorius,M. putorius,UG49,No Validation,1
M_putorius,M. putorius,UG49,Sequences Record,0
M_putorius,M. putorius,UG49,Daily Record,0
C_pynernaica,C. pynernaica,UG49,Global Biodiversity,0
C_pynernaica,C. pynernaica,UG49,No Validation,0
C_pynernaica,C. pynernaica,UG49,Sequences Record,0
C_pynernaica,C. pynernaica,UG49,Daily Record,0
S_vulgaris,S. vulgaris,UG49,Global Biodiversity,0
S_vulgaris,S. vulgaris,UG49,No Validation,1
S_vulgaris,S. vulgaris,UG49,Sequences Record,0
S_vulgaris,S. vulgaris,UG49,Daily Record,0
E_quercinus,E. quercinus,UG49,Global Biodiversity,0
E_quercinus,E. quercinus,UG49,No Validation,0
E_quercinus,E. quercinus,UG49,Sequences Record,0
E_quercinus,E. quercinus,UG49,Daily Record,0
O_cuniculus,O. cuniculus,UG84,Global Biodiversity,39
O_cuniculus,O. cuniculus,UG84,No Validation,37
O_cuniculus,O. cuniculus,UG84,Sequences Record,13
O_cuniculus,O. cuniculus,UG84,Daily Record,13
L_granatensis,L. granatensis,UG84,Global Biodiversity,0
L_granatensis,L. granatensis,UG84,No Validation,1
L_granatensis,L. granatensis,UG84,Sequences Record,6
L_granatensis,L. granatensis,UG84,Daily Record,4
G_genetta,G. genetta,UG84,Global Biodiversity,1
G_genetta,G. genetta,UG84,No Validation,0
G_genetta,G. genetta,UG84,Sequences Record,4
G_genetta,G. genetta,UG84,Daily Record,4
H_icheneumon,H. icheneumon,UG84,Global Biodiversity,0
H_icheneumon,H. icheneumon,UG84,No Validation,0
H_icheneumon,H. icheneumon,UG84,Sequences Record,3
H_icheneumon,H. icheneumon,UG84,Daily Record,3
V_vulpes,V. vulpes,UG84,Global Biodiversity,10
V_vulpes,V. vulpes,UG84,No Validation,11
V_vulpes,V. vulpes,UG84,Sequences Record,11
V_vulpes,V. vulpes,UG84,Daily Record,10
L_lutra,L. lutra,UG84,Global Biodiversity,6
L_lutra,L. lutra,UG84,No Validation,7
L_lutra,L. lutra,UG84,Sequences Record,0
L_lutra,L. lutra,UG84,Daily Record,0
M_foina,M. foina,UG84,Global Biodiversity,4
M_foina,M. foina,UG84,No Validation,1
M_foina,M. foina,UG84,Sequences Record,12
M_foina,M. foina,UG84,Daily Record,11
M_meles,M. meles,UG84,Global Biodiversity,1
M_meles,M. meles,UG84,No Validation,7
M_meles,M. meles,UG84,Sequences Record,0
M_meles,M. meles,UG84,Daily Record,0
M_nivalis,M. nivalis,UG84,Global Biodiversity,1
M_nivalis,M. nivalis,UG84,No Validation,0
M_nivalis,M. nivalis,UG84,Sequences Record,0
M_nivalis,M. nivalis,UG84,Daily Record,0
S_scrofa,S. scrofa,UG84,Global Biodiversity,19
S_scrofa,S. scrofa,UG84,No Validation,15
S_scrofa,S. scrofa,UG84,Sequences Record,1
S_scrofa,S. scrofa,UG84,Daily Record,1
C_elaphus,C. elaphus,UG84,Global Biodiversity,0
C_elaphus,C. elaphus,UG84,No Validation,0
C_elaphus,C. elaphus,UG84,Sequences Record,0
C_elaphus,C. elaphus,UG84,Daily Record,0
E_europaeus,E. europaeus,UG84,Global Biodiversity,0
E_europaeus,E. europaeus,UG84,No Validation,0
E_europaeus,E. europaeus,UG84,Sequences Record,0
E_europaeus,E. europaeus,UG84,Daily Record,0
M_putorius,M. putorius,UG84,Global Biodiversity,0
M_putorius,M. putorius,UG84,No Validation,0
M_putorius,M. putorius,UG84,Sequences Record,0
M_putorius,M. putorius,UG84,Daily Record,0
C_pynernaica,C. pynernaica,UG84,Global Biodiversity,0
C_pynernaica,C. pynernaica,UG84,No Validation,3
C_pynernaica,C. pynernaica,UG84,Sequences Record,0
C_pynernaica,C. pynernaica,UG84,Daily Record,0
S_vulgaris,S. vulgaris,UG84,Global Biodiversity,1
S_vulgaris,S. vulgaris,UG84,No Validation,1
S_vulgaris,S. vulgaris,UG84,Sequences Record,0
S_vulgaris,S. vulgaris,UG84,Daily Record,0
E_quercinus,E. quercinus,UG84,Global Biodiversity,0
E_quercinus,E. quercinus,UG84,No Validation,0
E_quercinus,E. quercinus,UG84,Sequences Record,0
E_quercinus,E. quercinus,UG84,Daily Record,0
O_cuniculus,O. cuniculus,UG94,Global Biodiversity,14
O_cuniculus,O. cuniculus,UG94,No Validation,21
O_cuniculus,O. cuniculus,UG94,Sequences Record,32
O_cuniculus,O. cuniculus,UG94,Daily Record,17
L_granatensis,L. granatensis,UG94,Global Biodiversity,0
L_granatensis,L. granatensis,UG94,No Validation,0
L_granatensis,L. granatensis,UG94,Sequences Record,3
L_granatensis,L. granatensis,UG94,Daily Record,3
G_genetta,G. genetta,UG94,Global Biodiversity,0
G_genetta,G. genetta,UG94,No Validation,0
G_genetta,G. genetta,UG94,Sequences Record,0
G_genetta,G. genetta,UG94,Daily Record,0
H_icheneumon,H. icheneumon,UG94,Global Biodiversity,0
H_icheneumon,H. icheneumon,UG94,No Validation,0
H_icheneumon,H. icheneumon,UG94,Sequences Record,0
H_icheneumon,H. icheneumon,UG94,Daily Record,0
V_vulpes,V. vulpes,UG94,Global Biodiversity,2
V_vulpes,V. vulpes,UG94,No Validation,2
V_vulpes,V. vulpes,UG94,Sequences Record,47
V_vulpes,V. vulpes,UG94,Daily Record,25
L_lutra,L. lutra,UG94,Global Biodiversity,1
L_lutra,L. lutra,UG94,No Validation,0
L_lutra,L. lutra,UG94,Sequences Record,0
L_lutra,L. lutra,UG94,Daily Record,0
M_foina,M. foina,UG94,Global Biodiversity,1
M_foina,M. foina,UG94,No Validation,6
M_foina,M. foina,UG94,Sequences Record,0
M_foina,M. foina,UG94,Daily Record,0
M_meles,M. meles,UG94,Global Biodiversity,2
M_meles,M. meles,UG94,No Validation,1
M_meles,M. meles,UG94,Sequences Record,0
M_meles,M. meles,UG94,Daily Record,0
M_nivalis,M. nivalis,UG94,Global Biodiversity,0
M_nivalis,M. nivalis,UG94,No Validation,0
M_nivalis,M. nivalis,UG94,Sequences Record,0
M_nivalis,M. nivalis,UG94,Daily Record,0
S_scrofa,S. scrofa,UG94,Global Biodiversity,1
S_scrofa,S. scrofa,UG94,No Validation,0
S_scrofa,S. scrofa,UG94,Sequences Record,0
S_scrofa,S. scrofa,UG94,Daily Record,0
C_elaphus,C. elaphus,UG94,Global Biodiversity,0
C_elaphus,C. elaphus,UG94,No Validation,0
C_elaphus,C. elaphus,UG94,Sequences Record,0
C_elaphus,C. elaphus,UG94,Daily Record,0
E_europaeus,E. europaeus,UG94,Global Biodiversity,0
E_europaeus,E. europaeus,UG94,No Validation,1
E_europaeus,E. europaeus,UG94,Sequences Record,0
E_europaeus,E. europaeus,UG94,Daily Record,0
M_putorius,M. putorius,UG94,Global Biodiversity,0
M_putorius,M. putorius,UG94,No Validation,0
M_putorius,M. putorius,UG94,Sequences Record,0
M_putorius,M. putorius,UG94,Daily Record,0
C_pynernaica,C. pynernaica,UG94,Global Biodiversity,0
C_pynernaica,C. pynernaica,UG94,No Validation,1
C_pynernaica,C. pynernaica,UG94,Sequences Record,0
C_pynernaica,C. pynernaica,UG94,Daily Record,0
S_vulgaris,S. vulgaris,UG94,Global Biodiversity,0
S_vulgaris,S. vulgaris,UG94,No Validation,3
S_vulgaris,S. vulgaris,UG94,Sequences Record,0
S_vulgaris,S. vulgaris,UG94,Daily Record,0
E_quercinus,E. quercinus,UG94,Global Biodiversity,0
E_quercinus,E. quercinus,UG94,No Validation,0
E_quercinus,E. quercinus,UG94,Sequences Record,0
E_quercinus,E. quercinus,UG94,Daily Record,0
O_cuniculus,O. cuniculus,UH26,Global Biodiversity,0
O_cuniculus,O. cuniculus,UH26,No Validation,0
O_cuniculus,O. cuniculus,UH26,Sequences Record,1
O_cuniculus,O. cuniculus,UH26,Daily Record,1
L_granatensis,L. granatensis,UH26,Global Biodiversity,0
L_granatensis,L. granatensis,UH26,No Validation,0
L_granatensis,L. granatensis,UH26,Sequences Record,0
L_granatensis,L. granatensis,UH26,Daily Record,0
G_genetta,G. genetta,UH26,Global Biodiversity,1
G_genetta,G. genetta,UH26,No Validation,0
G_genetta,G. genetta,UH26,Sequences Record,0
G_genetta,G. genetta,UH26,Daily Record,0
H_icheneumon,H. icheneumon,UH26,Global Biodiversity,2
H_icheneumon,H. icheneumon,UH26,No Validation,2
H_icheneumon,H. icheneumon,UH26,Sequences Record,2
H_icheneumon,H. icheneumon,UH26,Daily Record,2
